Title,Artist Name,Location Name,County Department,Year Created,Location Street,Artwork Type,Technique,Media & Support,Supervisor District,Dimensions,Accession Number
Among the Valiant,Richard Haro,Ruben F. Salazar Park Senior Center,Parks and Recreation,2010,"3864 Whittier Boulevard
Los Angeles 90023
(34.023918, -118.189997)",Mural,Mural painting,Acrylic on canvas,1,4 ft. 6 in.x 34 ft.* (1.4 x 10.4 m),2010.9
The Aviator,John Cody,Pacoima Facility,Fire,2000,"12605 Osborne Street
Pacoima 91331
(34.256388, -118.406532)",Sculpture,Carving,Serpentine stone,3,,2009.52
Untitled (Sculpture 8),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.27
Pieces Together,Lawrence Argent,"Martin Luther King, Jr. Medical Campus",Health Services,2014,"1670-1680 East 120th Street
Los Angeles 90059
(33.92427, -118.24458)",Sculpture,Carving,Granite,2,18 ft.x 7 ft.x 20 ft.* (5.5 x 2.1 x 6.1 m),2014.3
"We The People: Out of Many, One",Kent Twitchell,Bob Hope Patriotic Hall,Military and Veterans Affairs,2013,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Mural painting,Acrylic,1,12 ft.x 60 ft.* (3.7 x 18.3 m),2013.6.1.a-.c
Untitled,Dora De Larios,Rowland Heights Library,Public Library,1978,"1850 Nogales Street
Rowland Heights 91748
(33.984301, -117.888989)",Mural,Bas-relief,Plaster veneer,4,10 ft.x 30 ft.* (3 x 9.1 m),2009.42
"Dreams of Past, Present, Future",Jose Antonio Aguirre,East Los Angeles County Hall,Internal Services,1996,"4801 East 3rd Street
Los Angeles 90022
(34.033399, -118.160705)",Mural,Tiling,Ceramic,1,15 ft.x 18 ft. 5 in.* (4.6 x 5.6 m),2009.5
Around the Heart and Through the Soul,Gregory Siff,LAC+USC Medical Center,Health Services,2015,"1200 North State Street
Los Angeles 90033
(34.06078, -118.20895)",Mural,Mural painting,"ink, acrylic paint",1,,M.2015.5
Soldiers and Sailors,A.J. (Aurel Joel) Leitner,Bob Hope Patriotic Hall,Military and Veterans Affairs,1942,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Mural painting,Oil on canvas,1,,2009.82.a-.c
The Ride,Jason Greene,Fire Station 93,Fire,2008,"5624 East Avenue R
Palmdale 93552
(34.57254, -118.029149)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.13.2
Untitled (3rd Street Entrance Marker),Michael Amescua,East Los Angeles Civic Center,Internal Services,2007,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Sculpture,Casting,"Concrete, metal (iron?)",1,20 ft.* (6.1 m),2009.68.1.a-.b
Reclaimed Block Club Party,Greenmeme,Monteith Park,Parks and Recreation,2014,"4616 South Mullen Avenue
Los Angeles 90043
(33.999145, -118.337634)",Sculpture,Creating,"Reclaimed tables and chairs, blue milk paint",2,3 ft.x 40 ft.x 4 ft.* (0.9 x 12.2 x 1.2 m),T.2015.7
D-Day Mural,Frank Ackerman,Bob Hope Patriotic Hall,Military and Veterans Affairs,1972,"1816 South Figueroa Street
Los Angeles 90015
(34.035381, -118.271381)",Mural,Mural painting,Acrylic on wood,1,,2009.85.a-.c
Tomorrow,Jason Greene,Fire Station 136,Fire,2008,"3650 Bolz Ranch Road
Palmdale 93551
(34.615647, -118.194932)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.14.4
Jackets,Jason Greene,Fire Station 136,Fire,2008,"3650 Bolz Ranch Road
Palmdale 93551
(34.615647, -118.194932)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.14.2
Madame Bilbrew,Willie Middlebrook,A.C. Bilbrew Library,Public Library,1974,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Painting,Painting,Oil on canvas,2,,2009.99
Cliff Diver,Jason Greene,Fire Station 136,Fire,2008,"3650 Bolz Ranch Road
Palmdale 93551
(34.615647, -118.194932)",Painting,Painting,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.14.1
Yesterday,Jason Greene,Fire Station 136,Fire,2008,"3650 Bolz Ranch Road
Palmdale 93551
(34.615647, -118.194932)",Painting,Printing,"Oil, wood glue, wood sealer, acrylic gesso primer, varnish on birch plywood",5,,2008.14.5
SOMETHING HAPPENED ON THE OLD ROAD #3 (SHOTOR #3),Henk Pander,Fire Station 108,Fire,2008,"28799 Rock Canyon Drive
Santa Clarita 91380
(34.468729, -118.514066)",Painting,Painting,Winsor and Newton watercolor paints on paper,5,,2008.15.2.3
Ocean Journey,Topanga Art Tile,George W. Carver Park,Parks and Recreation,2008,"1400 East 118th Street
Los Angeles 90059
(33.926349, -118.251074)",Mural,Tiling,"Porcelain, ceramic glazes, mosaic tile, stone, propane, masonry boards, mortar, grout",2,33 ft. 6 in.x 4 ft. 6 in.* (10.2 x 1.4 m),2008.7
Unknown,Unknown,Claremont Library,Public Library,1985,"208 North Harvard Avenue
Claremont 91711
(34.09592, -117.716413)",Mural,Tiling,Stoneware,5,4 ft.x 5 ft.* (1.2 x 1.5 m),2009.98
Four Songs of Motion,Amy Trachtenberg,Olive View Mental Health Urgent Care Center,Mental Health,2011,"14659 Olive View Drive
Sylmar 91342
(34.324028, -118.454147)",Sculpture,Casting,"Concrete, cast acrylic discs, paint, polycarbon casting",5,,2011.4.a-.d
"California Landscape, Variation 3",Ken Gonzales-Day,South Los Angeles County Administration Building,Chief Executive Office - Real Estate,2007,"8300-8400 Vermont
Los Angeles 90044
(33.963491, -118.291593)",Mural,Tiling,Ceramic,2,8 ft. 10 in.x 48 ft. 3 in.* (2.7 x 14.7 m),2007.2.3
Gifts from Mother,Robin Strayhorn,Ted Watkins Memorial Park,Parks and Recreation,2008,"1335 East 103rd Street
Los Angeles 90002
(33.94327, -118.251396)",Mural,Tiling,Ceramic,2,9 ft.x 10 ft.* (2.7 x 3 m),2008.6
Untitled,Jose Antonio Aguirre,East Los Angeles Civic Center,Sheriff,2008,"4800 East 3rd Street
Los Angeles 90022
(34.033269, -118.160724)",Paint scheme,Painting,Acrylic on wall,1,,2008.5.a-.e
Untitled (Center Bas Relief Figures),Gaetana Salvatore Cartaino Scarpitta,LAC+USC General Hospital,Health Services,1933,"1200 North State Street
Los Angeles 90033
(34.06078, -118.20895)",Sculpture,Bas-relief,Stone,1,,2009.3.3.a-.c
SOMETHING HAPPENED ON THE OLD ROAD #2 (SHOTOR #2),Henk Pander,Fire Station 108,Fire,2008,"28799 Rock Canyon Drive
Santa Clarita 91380
(34.468729, -118.514066)",Painting,Painting,Winsor and Newton watercolor paints on paper,5,,2008.15.2.2
Untitled (Surrealist Painting),Raul Paulino Baltazar,Former 7555 Van Nuys Building,Probation,1996,"7555 Van Nuys Boulevard
Van Nuys 91405
(34.208042, -118.448767)",Painting,Painting,"Acrylic on canvas, wood",3,,2012.21
Respect Through the Ages,Juliana Martinez,North Hills Wellness Center,Health Services,2014,"9229 Haskell Avenue
North Hills 91343
(34.237439, -118.476309)",Mural,Mural painting,"Terra cotta, glass, porcelain, hand painted ceramic tile",3,,2014.11
Immemorial to Spiraling Ecologies of East LA,Mapache City Projects,Eastern Avenue Hill,Chief Executive Office - Real Estate,2014,"100 North Eastern Avenue
Los Angeles 90063
(34.036959, -118.173574)",Installation,Carving,"Limestone, steel, stone veneer, agave plants 
",1,,2014.9.1-.5
Where We Are From,Mobile Mural Lab,Dockweiler Beach,Beaches and Harbors,2012,"12000 Vista Del Mar
Playa del Rey 90293
(33.924441, -118.431814)",Mural,Mural painting,"Paint, aerosol",4,,M.2012.13.a-.c
Del Aire Fruit Park,Fallen Fruit,Del Aire Park,Parks and Recreation,2012,"12601 South Isis Avenue
Del Aire 90251
(33.917784, -118.374328)",Garden,Planting,"Trees, vines",2,,T.2013.1.a-.jj
Untitled (Mother Dragon),Benjamin Dominguez,Whittier Narrows Recreation Area,Parks and Recreation,1961,"823 Lexington-Gallatin Road
South El Monte 91733
(34.035698, -118.052669)",Sculpture,Casting,"Concrete, steel, paint",1,7 ft. 6 in.x 12 ft.x 12 ft.* (2.3 x 3.7 x 3.7 m),2009.84.1.a-.d
Untitled (Mask 5),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.5
Lincoln,Emil Seletz,Kenneth Hahn Hall of Administration,Internal Services,1958,"500 West Temple Street
Los Angeles 90012
(34.057403, -118.245522)",Sculpture,Casting,Bronze,1,,2009.9
Untitled,Carlos Spivey,"Martin Luther King, Jr. Medical Campus",Health Services,2013,"1670-1680 East 120th Street
Los Angeles 90059
(33.92427, -118.24458)",Mural,Mural painting,acrylic paint,2,,M.2013.4
The Cerritos Mural Project,Raul Paulino Baltazar,Cerritos Community Regional Park,Parks and Recreation,2013,"19700 South Bloomfield Avenue
Cerritos 90703
(33.849175, -118.063364)",Mural,Mural painting,Acrylic on canvas adhered to a CMU brick wall,4,,M.2013.9
Issuance,Evan LaGrande Wilson,La Crescenta Library,Public Library,2009,"2809 Foothill Boulevard
La Crescenta 91214
(34.224587, -118.240654)",Mural,Mural painting,Acrylic on canvas,5,,2009.77.1
Untitled (Mask 11),Emile Jordan,A.C. Bilbrew Library,Public Library,circa 1985,"150 East El Segundo Boulevard
Los Angeles 90061
(33.916419, -118.272281)",Sculpture,Carving,Wood,2,,2013.14.11
