Grantee Name,Discipline,Grant Award,Project,OGP Category,Grantee Website,Application Year
Friends of Levitt Pavilion - Greater Los Angeles & Pasadena,Presenting,$33300.00,To support the launch of major gifts and individual giving campaigns.,2,,2016-17
Friends of McGroarty Arts Center,Multidisciplinary,$21900.00,To support the salaries of the executive director and administrative assistant.,2,http://www.mcgroartyartscenter.org,2016-17
Gay Men's Chorus of Los Angeles,Music-Choral/Opera,$41600.00,To support two concert seasons.,3,http://www.gmcla.org,2016-17
Get Lit - Words Ignite,Arts Education,$26500.00,"To support artistic staff to provide poetry curriculum, mentoring to students and professional
development for teachers and student leaders.",2,,2016-17
Glendale Youth Orchestra,Music-Instrumental,$8300.00,To support the conductor.,1,http://www.glendaleyouthorchestra.com,2016-17
Grand Vision Foundation,Presenting,$26600.00,To support a marketing sustainability project and staff salaries for the marketing coordinator and the artistic director.,2,http://www.grandvision.org,2016-17
Greenway Arts Alliance,Theatre,$24800.00,"To support spoken word programming, including Da' Poetry Lounge, the annual InkSlam Poetry Festival and a Solo Poets series.",3,http://www.greenwayarts.org,2016-17
Grupo de Teatro SINERGIA-SINERGIA Theatre Group,Theatre,$18500.00,"To support the production and performance of two bilingual (English/Spanish) theatrical
productions.",1,http://www.fridakahlotheater.org,2016-17
"Guild Opera Company, Inc.",Arts Education,$5500.00,"To support culturally significant, age appropriate operas performed by professional artists for school children.",1,http://www.guildopera.org,2016-17
Hands for Hope,Arts Education,$19800.00,To support the executive director and development coordinator.,1,http://www.hands4hope.org,2016-17
Harmony Project,Arts Education,$50700.00,To support program director’s and teaching artists’ compensation.,3,http://www.harmony-project.org,2016-17
Hatchery Arts,Multidisciplinary,$25000.00,To support expanding marketing for the annual Hollywood Fringe Festival.,2,http://www.hollywoodfringe.org,2016-17
Hear Now Music Festival,Music-Instrumental,$9400.00,"To support musicians fees and production costs for a music festival presenting works by living
Los Angeles composers and two concerts.",1,http://www.hearnowmusicfestival.com,2016-17
"Highways, Inc.",Multidisciplinary,$21700.00,To support expanding the number of Latino artists presented and Latino audiences served.,2,http://www.highwaysperformance.org,2016-17
HNDP,Multidisciplinary,$4500.00,"To support build out of mobile music and digital arts truck with laptops, tablets and GoPro cameras and programing.",1,http://www.hndp.la,2016-17
Imagination Workshop,Theatre,$10800.00,To support executive director.,1,http://imaginationworkshop.org,2016-17
Independent Shakespeare Co.,Theatre,$25200.00,"To support artistic salaries for the Griffith Park Free Shakespeare Festival, an annual free 
presentation of classical theater performances.",2,http://www.iscla.org,2016-17
Inner City Youth Orchestra of Los Angeles,Music-Instrumental,$22100.00,To support orchestra concerts.,2,http://www.icyola.org,2016-17
"International Documentary Foundation, Inc.",Arts Service/,$45800.00,To support the 2016-18 presentation of the Doc U educational and cultural series.,3,http://www.documentary.org,2016-17
Invertigo Dance Theatre,Dance,$22900.00,"To support a new staff position, development and marketing manager, and to continue support of
the executive director.",2,http://www.invertigodance.org,2016-17
Jabberwocky Theatre Company,Theatre,$21900.00,To support administrative staff salaries.,2,http://www.roguemachinetheatre.com,2016-17
Jacaranda Music,Presenting,$19500.00,To support executive and artistic director salaries to engage in long-range artistic planning and donor cultivation.,2,http://www.jacarandamusic.org,2016-17
Japanese American National Museum,Arts Service/,$60500.00,To support JANM Summer Night Concerts and Family Festivals.,3,http://www.janm.org,2016-17
"Japanese Culture and Traditions, Inc.",Traditional & Folk Art,$4500.00,To support the annual Coming-of-Age Ceremony.,1,http://www.nadeshikokai.org,2016-17
"Jazz Angel, Inc.",Arts Education,$12800.00,To support expansion of programs in Paramount Unified School District and executive director's compensation.,1,,2016-17
JC Culture Foundation,Traditional & Folk Art,$7300.00,To support compensation for a part-time director.,1,http://www.abliondance.com,2016-17
Jewish Community Children's Choir,Music-Choral/Opera,$3200.00,"To support the artistic director, musicians, accompanists, and production costs for a public concert.",1,http://www.jewishchildrenschoir.com,2016-17
Kenneth Walker Dance Project,Dance,$3000.00,To support funding to increase stipends for artists and costuming and lighting designers.,1,http://www.kennethwalkerdanceproject.org,2016-17
Keshet Chaim Dance Ensemble,Dance,$17700.00,To support executive director and assistant artistic director.,1,http://www.kcdancers.org,2016-17
Kidspace: A Participatory Museum,Arts Education,$42300.00,To support the continuation of the Kidspace Children's Museum Free Family Night program.,3,,2016-17
Korean American Music Foundation,Music-Instrumental,$6800.00,To support the annual youth orchestra seasons.,1,http://www.kamfla.org,2016-17
L.A. Freewaves,Multidisciplinary,$18700.00,"To support ""Hollywould Regendered,"" a public art event about gender equity.",1,,2016-17
L.A. Theatre Works,Theatre,$44100.00,To support expanded development staffing and technology infrastructure improvements.,3,http://www.latw.org,2016-17
LA STAGE Alliance,Arts Service/,$33900.00,"To support three staff positions: a Technology Programs Manager, Events & Community
Programs and Development Manager and the Executive Director.",2,http://www.lastagealliance.com,2016-17
"Lark Musical Society, Inc.",Music-Instrumental,$29600.00,To support the Dilijan Chamber Music Concert Series.,2,,2016-17
Latin American Cinemateca of Los Angeles,Media Arts,$6100.00,"To support screenings, the annual student film festival and collaboration with the Los Angeles Conservancy’s Last Remaining Seats.",1,http://www.lacla.org,2016-17
Latino Arts Network of California,Arts Service/,$5700.00,"To support LAN's Latina Writers Encuentro, a one day convening of Los Angeles County based
Latina writers and the Maestro and Catalyst award programs.",1,http://www.latinoarts.net,2016-17
Les Figues Press,Literary Arts,$17100.00,"To support compensation for the part-time executive director and increase the publication
schedule by supporting production costs.",1,http://www.lesfigues.com,2016-17
Los Angeles Balalaika Orchestra,Music-Instrumental,$4300.00,"To support rental of concert hall venues, compensation for artists and performers and music
education for student orchestra members.",1,http://www.russianstrings.com,2016-17
Los Angeles Chamber Choir,Music-Choral/Opera,$7300.00,"To support production costs, marketing materials, artists stipends and rehearsal space for a performance at Disney Concert Hall.",1,http://www.lachamberchoir.com,2016-17
"Los Angeles Chamber Orchestra Society, Inc.",Music-Instrumental,$51100.00,"To support enhanced artist residencies activities such as free performances in schools, senior
centers, hospitals and other community gathering places.",3,http://www.laco.org,2016-17
Los Angeles Downtown Arts District Space,Multidisciplinary,$15500.00,"To support the first staff position, a full-time.",1,,2016-17
"Los Angeles Drama Club, Inc.",Arts Education,$17100.00,To support the co-producing artistic directors.,1,http://www.losangelesdramaclub.com,2016-17
Los Angeles Jazz Society,Arts Education,$19600.00,To support compensation for a part-time grant writer.,1,http://www.lajazz.org,2016-17
Los Angeles Jewish Symphony,Music-Instrumental,$20900.00,To support administrative staff.,2,http://www.lajewishsymphony.com,2016-17
Pasadena Community Orchestra,Music-Instrumental,$7800.00,"To support artistic staff, musicians and webmaster/graphic design position, as well as site venue rentals.",1,http://www.pcomusic.org,2016-17
Los Angeles Master Chorale Association,Music-Choral/Opera,$58600.00,"To support the Music in Resonant Spaces initiative to create innovative ways to experience performances and increase access for new, more diverse audiences.",3,http://www.lamc.org,2016-17
Los Angeles Music and Art School,Arts Education,$29800.00,To support compensation of the programs manager.,2,http://www.lamusart.org,2016-17
Los Angeles Nomadic Division,Visual Arts,$27000.00,To support operational growth.,2,http://www.nomadicdivision.org,2016-17
Los Angeles Philharmonic Association,Music-Instrumental,$154500.00,To support the Youth Orchestra LA Program and the full suite of educational and community programs.,4,http://www.laphil.com,2016-17
Los Angeles Symphony,Music-Instrumental,$15900.00,To support concerts at Disney Concert Hall and Cerritos Center for the Performing Arts.,1,http://www.LASymphonyOrchestra.org,2016-17
Los Angeles Youth Orchestra,Arts Education,$28200.00,To support executive director.,2,http://www.losangelesyouthorchestra.org,2016-17
Los Cancioneros Master Chorale,Music-Choral/Opera,$13500.00,To support scholarships for local singers and instrumentalists.,1,http://www.lcmasterchorale.com,2016-17
Lower Depth Theatre Ensemble,Theatre,$16200.00,To support the managing director.,1,http://www.LowerDepthTheatreEnsemble.org,2016-17
Lula Washington Contemporary Dance Foundation,Dance,$19800.00,"To support dancers’ fees for rehearsals and performances, as well as facility costs and staff.",2,http://www.lulawashington.org,2016-17
Lummis Day Community Foundation,Multidisciplinary,$10100.00,"To support the Annual Lummis Day Arts Festival showcasing music, dance, poetry,
puppetry, art and crafts created by the residents of northeast Los Angeles.",1,http://www.lummisday.org,2016-17
Madison Project dba The Broad Stage,Presenting,$60700.00,"To support education programming to serve 17,500 K-12 students and 350 educators per year.",3,http://www.thebroadstage.com,2016-17
Matsutoyo Kai,Traditional & Folk Art,$8300.00,To support compensation of Junko Ishikawa for her direction and programming of the Matsutoyo Kai.,1,http://www.matsutoyokai.com,2016-17
Metropolitan Master Chorale,Music-Choral/Opera,$7000.00,"To support artistic director, accompanist and website upgrades.",1,http://www.metrosings.org,2016-17
"mountainside master chorale, Inc.",Music-Choral/Opera,$14500.00,To support artistic staff and musicians.,1,,2016-17
Muae Publishing Inc.,Literary Arts,$20500.00,To support the managing editor who oversees publishing schedule and programming.,1,,2016-17
Museum Educators of Southern California,Arts Service/,$3300.00,"To support strategic planning, redevelopment and rebranding.",1,http://www.mesconline.org,2016-17
"Museum of Contemporary Art, Los Angeles",Arts Education,$72600.00,"To support the Contemporary Art Start education program and curriculum for youth, schools and
the community.",3,http://www.moca.org,2016-17
Museum of Latin American Art,Visual Arts,$50200.00,To support extended operating hours and corresponding Friday Nights at MOLAA programming.,3,http://www.molaa.org,2016-17
Neighborhood Music School Association,Arts Education,$26700.00,To support executive director compensation.,2,http://neighborhoodmusic.org,2016-17
NewFilmmakers Los Angeles,Media Arts,$18600.00,"To support salary for a new full-time employee to expand core programming to create
opportunities for minority and underrepresented community members.",1,http://www.nfmla.org,2016-17
Odyssey Theatre Foundation,Theatre,$31300.00,"To support and sustain increased artist fees and maintain enhanced production costs for two six
play seasons.",2,http://www.odysseytheatre.com,2016-17
Outfest,Media Arts,$44900.00,To support increasing core audience access to Outfest Los Angeles LGBT Film Festival.,3,http://www.outfest.org,2016-17
Overtone Industries,Multidisciplinary,$7800.00,"To support staff salaries for the premiere, movement, staging, set and costume design of The
ICELAND Concert.",1,http://www.overtoneindustries.org,2016-17
Pacific Opera Project,Music-Choral/Opera,$20500.00,"To support development consultant, company manager and bookkeeper.",1,,2016-17
Pacific Serenades,Music-Instrumental,$6800.00,To support a part-time administrator to support a Festival of LA Song.,1,http://www.pacser.org,2016-17
Padua Hills Playwright's Workshop/Festival,Theatre,$12800.00,To support playwriting workshops and productions.,1,http://paduaplaywrights.org/,2016-17
Palos Verdes Art Center,Visual Arts,$41700.00,To support free admission and improve quality and accessibility of visual arts and programming.,3,http://www.pvartcenter.org,2016-17
"Parson's Nose Productions, Inc.",Theatre,$15200.00,To support classic play production.,1,http://www.parsonsnose.com,2016-17
Pasadena Master Chorale Association,Music-Choral/Opera,$16100.00,To support pairing composers and visual artists to develop and present new choral pieces and printed/online concert materials.,1,http://pasadenamasterchorale.org,2016-17
Piano Spheres,Music-Instrumental,$18400.00,"To support an organizational consultant, executive director and the artistic director.",1,http://www.pianospheres.org,2016-17
Playwrights' Arena,Theatre,$16200.00,To support the production of new plays written by Los Angeles-based playwrights.,1,http://www.playwrightsarena.org,2016-17
Project Pit,Multidisciplinary,$3200.00,To support staff and increase quality programming and outreach.,1,http://www.projectpit.org,2016-17
Project X Foundation for Art and Criticism,Visual Arts,$20400.00,"To support the publication and related programming of X-TRA, including staffing.",1,http://www.x-tra.org,2016-17
Regina Klenjoski Dance Company,Dance,$14700.00,"To support a strategic resource manager salary to secure new resources and expand and
develop the board.",1,http://www.rkdc.org,2016-17
Regional Organization of Oaxaca,Traditional & Folk Art,$19200.00,To support the production of the cultural series Festival Guelaguetza ORO.,1,http://www.guelaguetzaoro.com,2016-17
Rhapsody in Taps Incorporated,Dance,$8900.00,"To support and sustain artistic, administrative and technical fees for Rhapsody In Taps' 2016
35th Anniversary Season and 2017 season.",1,http://www.rhapsodyintaps.com,2016-17
Rio Hondo Symphony Association,Music-Instrumental,$17800.00,To support artistic salaries for musicians and soloists.,1,http://www.riohondosymphony.org,2016-17
"Rosanna Gamson/World Wide, Inc.",Dance,$11300.00,To support workshops for dancers and dance-makers.,1,http://www.rosannagamsonworldwide.org,2016-17
Ruskin Group Theatre,Theatre,$18500.00,To support new box office and house manager staff position.,2,http://ruskingrouptheatre.com,2016-17
Santa Cecilia Opera & Orchestra Association,Music-Instrumental,$23100.00,To support the executive assistant/operations manager.,2,http://www.scorchestra.org,2016-17
Santa Clarita Artists' Association,Visual Arts,$6700.00,To support the annual Art Classic and Scholarship Program.,1,http://www.santaclaritaartists.org,2016-17
Santa Clarita Philharmonic Orchestra,Music-Instrumental,$3100.00,To support concert seasons of the Santa Clarita Philharmonic by providing stipends for professional musicians.,1,http://www.scphilharmonic.org,2016-17
Santa Clarita Shakespeare Festival,Theatre,$10700.00,"To support space, production costs and administrative capacity.",1,,2016-17
Santa Monica Group Theatre aka Santa Monica Playhouse,Theatre,$20600.00,"To support artists’ compensation and production costs to develop two world premiere
productions.",2,http://SantaMonicaPlayhouse.com,2016-17
Santa Monica Museum of Art,Visual Arts,$40600.00,To support organizational capacity through staff compensation and Artistic Advisory Council.,3,http://www.smmoa.org,2016-17
Santa Monica Symphony Association,Music-Instrumental,$19200.00,To support five free concerts per year.,1,http://www.smsymphony.org,2016-17
Saturday Night Bath Concert Fund,Arts Education,$3800.00,To support interactive music concerts at continuation high schools.,1,http://www.saturdaynightbath.org,2016-17
Screamfest Horror Film Festival,Media Arts,$16500.00,To support staff.,1,,2016-17
Self Help Graphics & Art,Visual Arts,$21000.00,"To support associate director, director of programming and operations, and program associates.",2,http://www.selfhelpgraphics.com,2016-17
Seraphim Theatre Company,Theatre,$15200.00,To support programming and rental costs.,1,http://www.echotheatercompany.com,2016-17
Sierra Madre Playhouse,Theatre,$20400.00,To support the creation of a new development director position.,2,http://www.sierramadreplayhouse.org,2016-17
Skirball Cultural Center,Multidisciplinary,$89900.00,"To support ""Sunset Concerts"" at the Skirball, an annual series of free world music concerts.",4,http://www.skirball.org,2016-17
Skylight Theatre Company,Theatre,$22700.00,"To support INKubator New Works Development Program, including support for
coordinator/associate producer.",2,http://skylightheatrecompany.com,2016-17
SoCal Symphony Society,Music-Instrumental,$17100.00,To support concerts featuring youth winners from Parness Concerto Competition.,2,http://www.culvercitysymphony.org,2016-17
Social and Public Art Resource Center,Visual Arts,$23700.00,To support core organizational practice.,2,http://www.SPARCinLA.org,2016-17
"SOL-LA Music Academy, Inc.",Arts Education,$24900.00,To support executive director.,2,https://www.sollamusicacademy.org,2016-17
Venice Arts,Arts Education,$33500.00,To support the gallery and public programs.,2,http://www.venice-arts.org,2016-17
"Son of Semele Ensemble, Inc.",Theatre,$14600.00,"To support compensation of the producing artistic director, production manager team and new technical director.",1,http://www.sonofsemele.org,2016-17
South Coast Chorale,Music-Choral/Opera,$7900.00,"To support artistic director, accompanist and concert musicians.",1,http://www.sccsingers.com.,2016-17
Southland Sings,Music-Choral/Opera,$19300.00,To support part-time managing director.,1,http://www.southlandopera.org,2016-17
St. Matthew's Music Guild,Music-Instrumental,$19600.00,To support commissioning and performance of two musical compositions by LA County composers and a free community concert of classical music.,1,http://www.musicguildonline.org,2016-17
"Street Poets, Inc",Arts Education,$28400.00,"To support poetry workshops and live poetry performances reaching 1500+ youth in juvenile
detention centers, continuation schools and public high schools.",2,http://www.streetpoetsinc.com,2016-17
Street Symphony Project Incorporated,Music-Instrumental,$3600.00,"To support staff positions in management, operations and development.",1,http://www.streetsymphony.org,2016-17
Szoboszlay Sandor Hungarian Theatre of Southern California,Music-Choral/Opera,$2800.00,To support artistic programming and production expenses of traditional Hungarian theatrical pieces.,1,,2016-17
TAIKOPROJECT,Traditional & Folk Art,$25900.00,To support staff salaries and development consultant fees.,2,http://www.TAIKOPROJECT.com,2016-17
TA'YER,Theatre,$3100.00,To support the theater art workshop program.,1,,2016-17
TeAda Productions,Theatre,$19900.00,To support existing artistic and administrative projects.,1,http://www.teada.org,2016-17
The ARTree Community Arts Center,Visual Arts,$2300.00,To support teaching staff and popup art activities and experiences.,1,http://theartree.org,2016-17
The Concert Singers,Music-Choral/Opera,$3300.00,To support program repertoire and hiring additional instrumentalists and soloists.,1,http://www.theconcertsingers.com,2016-17
The Foundation of the Neo Renaissance,Music-Choral/Opera,$4500.00,To support administrative director salary.,1,http://www.jouyssance.org,2016-17
The Gabriella Foundation,Arts Education,$43000.00,"To support daily dance classes for K-8 students at Gabriella Charter School for 36 weeks per
year.",3,http://www.gabri.org,2016-17
The Jazz Bakery Performance Space,Presenting,$28200.00,To support the Movable Feast concerts and compensation for marketing and development staff to advance audience expansion and fundraising goals.,2,http://www.jazzbakery.org,2016-17
The Museum of Jurassic Technology,Multidisciplinary,$25600.00,"To support artists’ honoraria and the cultural events programming series, which presents folk
music and traditions of marginalized or immigrant communities.",2,http://www.mjt.org,2016-17
The Open Fist Theatre Company,Theatre,$19000.00,To support rental costs.,1,http://www.openfist.org,2016-17
The Pan African Film Festival,Media Arts,$24200.00,"To support compensation for the director of programming for the annual Pan African Film & Arts
Festival.",2,http://www.paff.org,2016-17
The Performing Arts For Life And Education Foundation,Theatre,$14700.00,To support resource development staff.,1,http://www.palef.org,2016-17
The Sacred Fools Theater,Theatre,$20200.00,"To supplement production costs, rent, artist stipends and staff compensation.",1,http://www.sacredfools.org,2016-17
The Strindberg Laboratory,Theatre,$6000.00,To support theater training projects for underserved populations.,1,http://www.strindberglaboratory.com,2016-17
The Theatre @ Boston Court,Multidisciplinary,$33000.00,"To support marketing/communications manager, operations/membership coordinator and development assistant to grow audience/donor engagement program.",3,http://www.bostoncourt.org,2016-17
Theatre Movement Bazaar,Theatre,$15600.00,"To support artistic, executive and development directors.",1,http://www.TheatreMovementBazaar.org,2016-17
"Theatre Of Hearts, Inc.",Arts Education,$22800.00,"To support full-time staff and a part-time computer web designer, and upgrade computer
software.",2,http://www.theatreofhearts.org,2016-17
Topanga Symphony,Music-Instrumental,$2900.00,To support annual free concerts.,1,http://www.topangasymphony.com,2016-17
Towne Singers Inc.,Music-Choral/Opera,$13500.00,To support compensation of choral conductor and accompanist.,1,http://www.townesingers.org,2016-17
United States Veterans' Artists Alliance,Multidisciplinary,$6900.00,"To support executive director compensation for operations and veteran oriented projects and
programming.",1,http://www.usvaa.org,2016-17
Valley Cultural Center,Presenting,$25800.00,To support artistic expansion of Concerts on the Green series.,2,http://www.vcultural.org,2016-17
Vidiots Foundation,Media Arts,$27000.00,To support compensation of the executive director.,2,http://www.vidiotsfoundation.org,2016-17
Vincent Price Art Museum Foundation,Visual Arts,$22900.00,To support development contractor and related fundraising expenses.,2,http://www.vincentpriceartmuseum.org,2016-17
Vineyard Touring Opera Company,Music-Choral/Opera,$2900.00,"To support expansion of artistic programming, musician and singer compensation.",1,http://vtopera.org,2016-17
Viver Brasil Dance Company,Dance,$23600.00,"To support the strategic shift in executive leadership from its founder to a professional arts
manager.",2,http://www.viverbrasil.com,2016-17
Vox Femina Los Angeles,Music-Choral/Opera,$21300.00,To support executive director compensation and professional development.,1,http://www.voxfeminala.org,2016-17
Vs. Theatre Company,Theatre,$9500.00,To support space rental costs.,1,,2016-17
Wallis Annenberg Center for the Performing Arts,Multidisciplinary,$62000.00,"To support marketing and communications initiatives and new staff positions, a subscription campaign and implementation of new technology.",3,http://www.thewallis.org,2016-17
West Coast Singers,Music-Choral/Opera,$9700.00,"To support space, music, marketing/advertising, paid artistic talent and instrumentalist costs for annual holiday concert.",1,http://www.westcoastsingers.org,2016-17
WordTheatre,Multidisciplinary,$14900.00,"To support a new Content Coordinator to manage data, including audio, video, photos, contact information, research and promotional materials.",1,http://www.WordTheatre.com,2016-17
World Stage Performance Gallery,Multidisciplinary,$12100.00,"To support public jazz, writing and vocal workshop programming.",1,http://www.theworldstage.org,2016-17
Young Musicians Foundation,Music-Instrumental,$29400.00,"To support the Debut Orchestra, made up of young members ages 15 to 25.",2,http://www.ymf.org,2016-17
Zanbeel Art Inc.,Multidisciplinary,$2800.00,"To support public art literacy programs designed to build a greater understanding of the people
and cultures of South Asia.",1,http://www.zanbeelart.org,2016-17
